index,reg_rmse,svr_rmse,dtr_rmse,frequency
1,2.722276318181826,3.230928845360586,1.479415866760227,282
2,2.1957688474495294,2.781021654974623,1.4240529353100075,247
3,1.471243685665518,2.037662258182953,1.2221135982062294,309
4,0.8615967356915535,1.3350451433194663,0.9472527693344999,399
5,1.3946161522289868,1.2549771912504635,1.4603961685494438,496
6,1.4997087299668366,1.3313651697623985,1.481095329924202,494
7,1.2700809506576574,0.9910866536129118,1.079973285767079,551
8,0.9390252543065084,0.5973755300129682,0.8395321029325695,679
9,0.7683806629873916,0.6086720802379251,0.7535578001158624,924
10,0.8850660078371732,1.0975989086995397,0.9579060677671675,970
